ID,x,y,spID,state0,trayID,rep,day_infected
ID84,23.71,7.79549476,radish,S,3,3,15
ID85,0.76,9.26773795,radish,C,3,3,6
ID86,2.46,9.26773795,radish,S,3,3,12
ID87,4.16,9.26773795,radish,S,3,3,15
ID88,5.86,9.26773795,radish,S,3,3,12
ID89,7.56,9.26773795,radish,C,3,3,6
ID90,9.26,9.26773795,radish,S,3,3,12
ID91,10.96,9.26773795,radish,S,3,3,15
ID92,12.66,9.26773795,radish,S,3,3,18
ID93,14.36,9.26773795,radish,S,3,3,15
ID94,16.06,9.26773795,radish,S,3,3,18
ID95,17.76,9.26773795,radish,S,3,3,18
ID96,19.46,9.26773795,radish,S,3,3,12
ID97,21.16,9.26773795,radish,S,3,3,9
ID98,22.86,9.26773795,radish,S,3,3,15
ID99,1.61,10.7399811,radish,S,3,3,15
ID100,3.31,10.7399811,radish,S,3,3,12
ID101,5.01,10.7399811,radish,S,3,3,12
ID102,6.71,10.7399811,radish,S,3,3,12
ID103,8.41,10.7399811,radish,S,3,3,9
ID104,10.11,10.7399811,radish,S,3,3,9
ID105,11.81,10.7399811,radish,S,3,3,15
ID106,13.51,10.7399811,radish,S,3,3,15
ID107,15.21,10.7399811,radish,S,3,3,15
ID108,16.91,10.7399811,radish,S,3,3,15
ID109,18.61,10.7399811,radish,S,3,3,12
ID110,20.31,10.7399811,radish,S,3,3,9
ID111,22.01,10.7399811,radish,C,3,3,6
ID112,23.71,10.7399811,radish,S,3,3,12
ID113,0.76,12.2122243,radish,S,3,3,18
ID114,2.46,12.2122243,radish,S,3,3,15
ID115,4.16,12.2122243,radish,C,3,3,6
ID116,5.86,12.2122243,radish,S,3,3,9
ID117,7.56,12.2122243,radish,S,3,3,15
ID118,9.26,12.2122243,radish,C,3,3,6
ID119,10.96,12.2122243,radish,S,3,3,9
ID120,12.66,12.2122243,radish,S,3,3,18
ID121,14.36,12.2122243,radish,S,3,3,18
ID122,16.06,12.2122243,radish,C,3,3,6
ID123,17.76,12.2122243,radish,C,3,3,6
ID124,19.46,12.2122243,radish,S,3,3,9
ID125,21.16,12.2122243,radish,S,3,3,9
ID126,22.86,12.2122243,radish,S,3,3,12
ID127,1.61,13.6844675,radish,S,3,3,18
ID128,3.31,13.6844675,radish,S,3,3,15
ID129,5.01,13.6844675,radish,S,3,3,12
ID130,6.71,13.6844675,radish,S,3,3,9
ID131,8.41,13.6844675,radish,S,3,3,12
ID132,10.11,13.6844675,radish,S,3,3,9
ID133,11.81,13.6844675,radish,S,3,3,9
ID134,13.51,13.6844675,radish,S,3,3,15
ID135,15.21,13.6844675,radish,S,3,3,18
ID136,16.91,13.6844675,radish,S,3,3,9
ID137,18.61,13.6844675,radish,C,3,3,6
ID138,20.31,13.6844675,radish,S,3,3,9
ID139,22.01,13.6844675,radish,S,3,3,12
ID140,23.71,13.6844675,radish,S,3,3,
ID141,0.76,15.1567107,radish,S,3,3,18
ID142,2.46,15.1567107,radish,S,3,3,18
ID143,4.16,15.1567107,radish,S,3,3,15
ID144,5.86,15.1567107,radish,S,3,3,15
ID145,7.56,15.1567107,radish,S,3,3,12
ID146,9.26,15.1567107,radish,S,3,3,12
ID147,10.96,15.1567107,radish,S,3,3,15
ID148,12.66,15.1567107,radish,S,3,3,18
ID149,14.36,15.1567107,radish,S,3,3,18
ID150,16.06,15.1567107,radish,S,3,3,12
ID151,17.76,15.1567107,radish,S,3,3,9
ID152,19.46,15.1567107,radish,S,3,3,12
ID153,21.16,15.1567107,radish,S,3,3,12
ID154,22.86,15.1567107,radish,S,3,3,12
ID155,1.61,16.6289539,radish,S,3,3,
ID156,3.31,16.6289539,radish,S,3,3,18
ID157,5.01,16.6289539,radish,S,3,3,18
ID158,6.71,16.6289539,radish,S,3,3,15
ID159,8.41,16.6289539,radish,S,3,3,15
ID160,10.11,16.6289539,radish,S,3,3,18
ID161,11.81,16.6289539,radish,S,3,3,18
ID162,13.51,16.6289539,radish,S,3,3,18
ID163,15.21,16.6289539,radish,S,3,3,18
ID164,16.91,16.6289539,radish,S,3,3,12
ID165,18.61,16.6289539,radish,C,3,3,6
ID166,20.31,16.6289539,radish,S,3,3,12
ID167,22.01,16.6289539,radish,S,3,3,15
ID168,23.71,16.6289539,radish,S,3,3,15
ID169,0.76,18.1011971,radish,S,3,3,
ID170,2.46,18.1011971,radish,S,3,3,18
ID171,4.16,18.1011971,radish,S,3,3,
ID172,5.86,18.1011971,radish,S,3,3,18
ID173,7.56,18.1011971,radish,S,3,3,18
ID174,9.26,18.1011971,radish,S,3,3,18
ID175,10.96,18.1011971,radish,S,3,3,18
ID176,12.66,18.1011971,radish,S,3,3,18
ID177,14.36,18.1011971,radish,S,3,3,18
ID178,16.06,18.1011971,radish,S,3,3,18
ID179,17.76,18.1011971,radish,S,3,3,12
ID180,19.46,18.1011971,radish,S,3,3,9
ID181,21.16,18.1011971,radish,S,3,3,12
ID182,22.86,18.1011971,radish,S,3,3,12
ID183,1.61,19.5734403,radish,S,3,3,15
ID184,3.31,19.5734403,radish,S,3,3,15
ID185,5.01,19.5734403,radish,S,3,3,
ID186,6.71,19.5734403,radish,S,3,3,18
ID187,8.41,19.5734403,radish,S,3,3,18
ID188,10.11,19.5734403,radish,S,3,3,18
ID189,11.81,19.5734403,radish,S,3,3,18
ID190,13.51,19.5734403,radish,C,3,3,6
ID191,15.21,19.5734403,radish,S,3,3,18
ID192,16.91,19.5734403,radish,S,3,3,18
ID193,18.61,19.5734403,radish,S,3,3,9
ID194,20.31,19.5734403,radish,S,3,3,9
ID195,22.01,19.5734403,radish,C,3,3,6
ID196,23.71,19.5734403,radish,S,3,3,18
ID197,0.76,21.0456834,radish,S,3,3,
ID198,2.46,21.0456834,radish,S,3,3,15
ID199,4.16,21.0456834,radish,S,3,3,12
ID200,5.86,21.0456834,radish,S,3,3,12
ID201,7.56,21.0456834,radish,C,3,3,9
ID202,9.26,21.0456834,radish,S,3,3,15
ID203,10.96,21.0456834,radish,S,3,3,18
ID204,12.66,21.0456834,radish,S,3,3,12
ID205,14.36,21.0456834,radish,S,3,3,15
ID206,16.06,21.0456834,radish,S,3,3,15
ID207,17.76,21.0456834,radish,S,3,3,9
ID208,19.46,21.0456834,radish,C,3,3,6
ID209,21.16,21.0456834,radish,S,3,3,9
ID210,22.86,21.0456834,radish,S,3,3,15
ID211,1.61,22.5179266,radish,S,3,3,
ID212,3.31,22.5179266,radish,S,3,3,18
ID213,5.01,22.5179266,radish,C,3,3,6
ID214,6.71,22.5179266,radish,S,3,3,9
ID215,8.41,22.5179266,radish,S,3,3,12
ID216,10.11,22.5179266,radish,S,3,3,
ID217,11.81,22.5179266,radish,S,3,3,18
ID218,13.51,22.5179266,radish,S,3,3,
ID219,15.21,22.5179266,radish,S,3,3,15
ID220,16.91,22.5179266,radish,S,3,3,15
ID221,18.61,22.5179266,radish,S,3,3,12
ID222,20.31,22.5179266,radish,S,3,3,9
ID223,22.01,22.5179266,radish,S,3,3,12
ID224,23.71,22.5179266,radish,S,3,3,18
ID225,0.76,23.9901698,radish,S,3,3,
ID226,2.46,23.9901698,radish,S,3,3,
ID227,4.16,23.9901698,radish,S,3,3,18
ID228,5.86,23.9901698,radish,S,3,3,12
ID229,7.56,23.9901698,radish,S,3,3,12
ID230,9.26,23.9901698,radish,S,3,3,
ID231,10.96,23.9901698,radish,S,3,3,
ID232,12.66,23.9901698,radish,S,3,3,
ID233,14.36,23.9901698,radish,S,3,3,
ID234,16.06,23.9901698,radish,S,3,3,
ID235,17.76,23.9901698,radish,S,3,3,18
ID236,19.46,23.9901698,radish,S,3,3,12
ID237,21.16,23.9901698,radish,S,3,3,15
ID238,22.86,23.9901698,radish,S,3,3,18
ID1,0.76,0.43427883,radish,S,4,4,
ID2,2.46,0.43427883,radish,S,4,4,
ID3,4.16,0.43427883,radish,S,4,4,
ID4,5.86,0.43427883,radish,C,4,4,15
ID5,7.56,0.43427883,radish,S,4,4,
ID6,9.26,0.43427883,radish,S,4,4,
ID7,10.96,0.43427883,radish,S,4,4,18
ID8,12.66,0.43427883,radish,S,4,4,18
ID9,14.36,0.43427883,radish,S,4,4,15
ID10,16.06,0.43427883,radish,S,4,4,18
ID11,17.76,0.43427883,radish,S,4,4,18
ID12,19.46,0.43427883,radish,S,4,4,
ID13,21.16,0.43427883,radish,S,4,4,
ID14,22.86,0.43427883,radish,S,4,4,
ID15,1.61,1.90652201,radish,S,4,4,
ID16,3.31,1.90652201,radish,S,4,4,
ID17,5.01,1.90652201,radish,S,4,4,
ID18,6.71,1.90652201,radish,S,4,4,
ID19,8.41,1.90652201,radish,S,4,4,x
ID20,10.11,1.90652201,radish,S,4,4,18
ID21,11.81,1.90652201,radish,S,4,4,18
ID22,13.51,1.90652201,radish,C,4,4,6
ID23,15.21,1.90652201,radish,S,4,4,12
ID24,16.91,1.90652201,radish,S,4,4,18
ID25,18.61,1.90652201,radish,S,4,4,18
ID26,20.31,1.90652201,radish,S,4,4,18
ID27,22.01,1.90652201,radish,S,4,4,18
ID28,23.71,1.90652201,radish,S,4,4,18
ID29,0.76,3.3787652,radish,S,4,4,
ID30,2.46,3.3787652,radish,S,4,4,
ID31,4.16,3.3787652,radish,S,4,4,
ID32,5.86,3.3787652,radish,S,4,4,
ID33,7.56,3.3787652,radish,S,4,4,18
ID34,9.26,3.3787652,radish,S,4,4,18
ID35,10.96,3.3787652,radish,S,4,4,18
ID36,12.66,3.3787652,radish,S,4,4,15
ID37,14.36,3.3787652,radish,S,4,4,12
ID38,16.06,3.3787652,radish,S,4,4,15
ID39,17.76,3.3787652,radish,S,4,4,18
ID40,19.46,3.3787652,radish,S,4,4,15
ID41,21.16,3.3787652,radish,S,4,4,18
ID42,22.86,3.3787652,radish,S,4,4,18
ID43,1.61,4.85100839,radish,S,4,4,
ID44,3.31,4.85100839,radish,S,4,4,
ID45,5.01,4.85100839,radish,S,4,4,18
ID46,6.71,4.85100839,radish,S,4,4,18
ID47,8.41,4.85100839,radish,S,4,4,15
ID48,10.11,4.85100839,radish,S,4,4,15
ID49,11.81,4.85100839,radish,S,4,4,12
ID50,13.51,4.85100839,radish,S,4,4,12
ID51,15.21,4.85100839,radish,S,4,4,15
ID52,16.91,4.85100839,radish,S,4,4,18
ID53,18.61,4.85100839,radish,S,4,4,9
ID54,20.31,4.85100839,radish,S,4,4,12
ID55,22.01,4.85100839,radish,S,4,4,18
ID56,23.71,4.85100839,radish,S,4,4,18
ID57,0.76,6.32325157,radish,S,4,4,
ID58,2.46,6.32325157,radish,S,4,4,
ID59,4.16,6.32325157,radish,S,4,4,18
ID60,5.86,6.32325157,radish,S,4,4,18
ID61,7.56,6.32325157,radish,S,4,4,15
ID62,9.26,6.32325157,radish,S,4,4,12
ID63,10.96,6.32325157,radish,S,4,4,12
ID64,12.66,6.32325157,radish,S,4,4,9
ID65,14.36,6.32325157,radish,S,4,4,12
ID66,16.06,6.32325157,radish,S,4,4,15
ID67,17.76,6.32325157,radish,S,4,4,12
ID68,19.46,6.32325157,radish,C,4,4,6
ID69,21.16,6.32325157,radish,S,4,4,12
ID70,22.86,6.32325157,radish,S,4,4,12
ID71,1.61,7.79549476,radish,S,4,4,
ID72,3.31,7.79549476,radish,S,4,4,
ID73,5.01,7.79549476,radish,S,4,4,18
ID74,6.71,7.79549476,radish,S,4,4,15
ID75,8.41,7.79549476,radish,S,4,4,12
ID76,10.11,7.79549476,radish,S,4,4,12
ID77,11.81,7.79549476,radish,S,4,4,12
ID78,13.51,7.79549476,radish,C,4,4,6
ID79,15.21,7.79549476,radish,S,4,4,12
ID80,16.91,7.79549476,radish,C,4,4,15
ID81,18.61,7.79549476,radish,S,4,4,12
ID82,20.31,7.79549476,radish,S,4,4,9
ID83,22.01,7.79549476,radish,S,4,4,15
ID84,23.71,7.79549476,radish,S,4,4,15
ID85,0.76,9.26773795,radish,S,4,4,
ID86,2.46,9.26773795,radish,S,4,4,
ID87,4.16,9.26773795,radish,S,4,4,18
ID88,5.86,9.26773795,radish,S,4,4,15
ID89,7.56,9.26773795,radish,S,4,4,12
ID90,9.26,9.26773795,radish,S,4,4,12
ID91,10.96,9.26773795,radish,C,4,4,6
ID92,12.66,9.26773795,radish,S,4,4,9
ID93,14.36,9.26773795,radish,S,4,4,12
ID94,16.06,9.26773795,radish,S,4,4,12
ID95,17.76,9.26773795,radish,S,4,4,12
ID96,19.46,9.26773795,radish,C,4,4,12
ID97,21.16,9.26773795,radish,S,4,4,12
ID98,22.86,9.26773795,radish,S,4,4,12
ID99,1.61,10.7399811,radish,S,4,4,
ID100,3.31,10.7399811,radish,S,4,4,18
ID101,5.01,10.7399811,radish,S,4,4,12
ID102,6.71,10.7399811,radish,S,4,4,12
ID103,8.41,10.7399811,radish,S,4,4,12
ID104,10.11,10.7399811,radish,S,4,4,9
ID105,11.81,10.7399811,radish,S,4,4,9
ID106,13.51,10.7399811,radish,S,4,4,12
ID107,15.21,10.7399811,radish,S,4,4,15
ID108,16.91,10.7399811,radish,S,4,4,15
ID109,18.61,10.7399811,radish,S,4,4,12
ID110,20.31,10.7399811,radish,S,4,4,9
ID111,22.01,10.7399811,radish,C,4,4,9
ID112,23.71,10.7399811,radish,S,4,4,12
ID113,0.76,12.2122243,radish,S,4,4,
ID114,2.46,12.2122243,radish,S,4,4,18
ID115,4.16,12.2122243,radish,S,4,4,15
ID116,5.86,12.2122243,radish,C,4,4,9
ID117,7.56,12.2122243,radish,S,4,4,12
ID118,9.26,12.2122243,radish,S,4,4,12
ID119,10.96,12.2122243,radish,C,4,4,6
ID120,12.66,12.2122243,radish,S,4,4,9
ID121,14.36,12.2122243,radish,S,4,4,15
ID122,16.06,12.2122243,radish,S,4,4,15
ID123,17.76,12.2122243,radish,S,4,4,12
ID124,19.46,12.2122243,radish,S,4,4,9
ID125,21.16,12.2122243,radish,C,4,4,6
ID126,22.86,12.2122243,radish,S,4,4,9
ID127,1.61,13.6844675,radish,S,4,4,18
ID128,3.31,13.6844675,radish,S,4,4,18
ID129,5.01,13.6844675,radish,S,4,4,18
ID130,6.71,13.6844675,radish,S,4,4,18
ID131,8.41,13.6844675,radish,S,4,4,x
ID132,10.11,13.6844675,radish,S,4,4,9
ID133,11.81,13.6844675,radish,S,4,4,9
ID134,13.51,13.6844675,radish,S,4,4,9
ID135,15.21,13.6844675,radish,S,4,4,15
ID136,16.91,13.6844675,radish,S,4,4,18
ID137,18.61,13.6844675,radish,S,4,4,15
ID138,20.31,13.6844675,radish,S,4,4,12
ID139,22.01,13.6844675,radish,S,4,4,9
ID140,23.71,13.6844675,radish,C,4,4,6
ID141,0.76,15.1567107,radish,S,4,4,
ID142,2.46,15.1567107,radish,S,4,4,18
ID143,4.16,15.1567107,radish,S,4,4,18
ID144,5.86,15.1567107,radish,S,4,4,18
ID145,7.56,15.1567107,radish,S,4,4,15
ID146,9.26,15.1567107,radish,S,4,4,12
ID147,10.96,15.1567107,radish,S,4,4,9
ID148,12.66,15.1567107,radish,S,4,4,15
ID149,14.36,15.1567107,radish,S,4,4,15
ID150,16.06,15.1567107,radish,S,4,4,18
ID151,17.76,15.1567107,radish,S,4,4,12
ID152,19.46,15.1567107,radish,S,4,4,12
ID153,21.16,15.1567107,radish,C,4,4,6
ID154,22.86,15.1567107,radish,C,4,4,6
ID155,1.61,16.6289539,radish,S,4,4,18
ID156,3.31,16.6289539,radish,S,4,4,18
ID157,5.01,16.6289539,radish,S,4,4,18
ID158,6.71,16.6289539,radish,S,4,4,15
ID159,8.41,16.6289539,radish,S,4,4,15
ID160,10.11,16.6289539,radish,C,4,4,6
ID161,11.81,16.6289539,radish,S,4,4,12
ID162,13.51,16.6289539,radish,S,4,4,15
ID163,15.21,16.6289539,radish,C,4,4,18
ID164,16.91,16.6289539,radish,S,4,4,15
ID165,18.61,16.6289539,radish,S,4,4,12
ID166,20.31,16.6289539,radish,S,4,4,12
ID167,22.01,16.6289539,radish,S,4,4,12
ID168,23.71,16.6289539,radish,S,4,4,12
ID169,0.76,18.1011971,radish,S,4,4,18
ID170,2.46,18.1011971,radish,S,4,4,15
ID171,4.16,18.1011971,radish,S,4,4,15
ID172,5.86,18.1011971,radish,S,4,4,15
ID173,7.56,18.1011971,radish,S,4,4,15
ID174,9.26,18.1011971,radish,S,4,4,9
ID175,10.96,18.1011971,radish,S,4,4,12
ID176,12.66,18.1011971,radish,S,4,4,12
ID177,14.36,18.1011971,radish,S,4,4,9
ID178,16.06,18.1011971,radish,S,4,4,15
ID179,17.76,18.1011971,radish,S,4,4,15
ID180,19.46,18.1011971,radish,S,4,4,12
ID181,21.16,18.1011971,radish,S,4,4,12
ID182,22.86,18.1011971,radish,S,4,4,12
ID183,1.61,19.5734403,radish,S,4,4,15
ID184,3.31,19.5734403,radish,C,4,4,6
ID185,5.01,19.5734403,radish,S,4,4,12
ID186,6.71,19.5734403,radish,S,4,4,12
ID187,8.41,19.5734403,radish,S,4,4,12
ID188,10.11,19.5734403,radish,S,4,4,12
ID189,11.81,19.5734403,radish,S,4,4,12
ID190,13.51,19.5734403,radish,C,4,4,6
ID191,15.21,19.5734403,radish,S,4,4,9
ID192,16.91,19.5734403,radish,S,4,4,15
ID193,18.61,19.5734403,radish,S,4,4,12
ID194,20.31,19.5734403,radish,C,4,4,6
ID195,22.01,19.5734403,radish,S,4,4,12
ID196,23.71,19.5734403,radish,S,4,4,18
ID197,0.76,21.0456834,radish,S,4,4,18
ID198,2.46,21.0456834,radish,S,4,4,12
ID199,4.16,21.0456834,radish,S,4,4,12
ID200,5.86,21.0456834,radish,S,4,4,9
ID201,7.56,21.0456834,radish,S,4,4,12
ID202,9.26,21.0456834,radish,S,4,4,12
ID203,10.96,21.0456834,radish,S,4,4,12
ID204,12.66,21.0456834,radish,S,4,4,9
ID205,14.36,21.0456834,radish,S,4,4,9
ID206,16.06,21.0456834,radish,S,4,4,12
ID207,17.76,21.0456834,radish,S,4,4,15
ID208,19.46,21.0456834,radish,S,4,4,15
ID209,21.16,21.0456834,radish,C,4,4,6
ID210,22.86,21.0456834,radish,S,4,4,9
ID211,1.61,22.5179266,radish,S,4,4,12
ID212,3.31,22.5179266,radish,S,4,4,9
ID213,5.01,22.5179266,radish,C,4,4,6
ID214,6.71,22.5179266,radish,C,4,4,6
ID215,8.41,22.5179266,radish,S,4,4,9
ID216,10.11,22.5179266,radish,S,4,4,12
ID217,11.81,22.5179266,radish,S,4,4,12
ID218,13.51,22.5179266,radish,S,4,4,12
ID219,15.21,22.5179266,radish,S,4,4,18
ID220,16.91,22.5179266,radish,S,4,4,15
ID221,18.61,22.5179266,radish,S,4,4,18
ID222,20.31,22.5179266,radish,S,4,4,15
ID223,22.01,22.5179266,radish,S,4,4,12
ID224,23.71,22.5179266,radish,S,4,4,15
ID225,0.76,23.9901698,radish,S,4,4,15
ID226,2.46,23.9901698,radish,S,4,4,12
ID227,4.16,23.9901698,radish,C,4,4,6
ID228,5.86,23.9901698,radish,S,4,4,9
ID229,7.56,23.9901698,radish,C,4,4,6
ID230,9.26,23.9901698,radish,S,4,4,9
ID231,10.96,23.9901698,radish,S,4,4,12
ID232,12.66,23.9901698,radish,S,4,4,15
ID233,14.36,23.9901698,radish,S,4,4,15
ID234,16.06,23.9901698,radish,S,4,4,18
ID235,17.76,23.9901698,radish,S,4,4,18
ID236,19.46,23.9901698,radish,S,4,4,18
ID237,21.16,23.9901698,radish,S,4,4,15
ID238,22.86,23.9901698,radish,S,4,4,18
ID1,0.76,0.43427883,radish,C,5,5,12
ID2,2.46,0.43427883,radish,S,5,5,18
ID3,4.16,0.43427883,radish,S,5,5,5
ID4,5.86,0.43427883,radish,S,5,5,15
ID5,7.56,0.43427883,radish,S,5,5,9
ID6,9.26,0.43427883,radish,C,5,5,6
ID7,10.96,0.43427883,radish,S,5,5,12
ID8,12.66,0.43427883,radish,S,5,5,12
ID9,14.36,0.43427883,radish,S,5,5,12
ID10,16.06,0.43427883,radish,S,5,5,15
ID11,17.76,0.43427883,radish,S,5,5,18
ID12,19.46,0.43427883,radish,S,5,5,18
ID13,21.16,0.43427883,radish,S,5,5,18
ID14,22.86,0.43427883,radish,S,5,5,
ID15,1.61,1.90652201,radish,S,5,5,15
ID16,3.31,1.90652201,radish,S,5,5,18
ID17,5.01,1.90652201,radish,S,5,5,18
ID18,6.71,1.90652201,radish,S,5,5,15
ID19,8.41,1.90652201,radish,S,5,5,12
ID20,10.11,1.90652201,radish,S,5,5,9
ID21,11.81,1.90652201,radish,S,5,5,15
ID22,13.51,1.90652201,radish,S,5,5,9
ID23,15.21,1.90652201,radish,S,5,5,12
ID24,16.91,1.90652201,radish,S,5,5,12
ID25,18.61,1.90652201,radish,S,5,5,18
ID26,20.31,1.90652201,radish,S,5,5,18
ID27,22.01,1.90652201,radish,S,5,5,18
ID28,23.71,1.90652201,radish,S,5,5,18
ID29,0.76,3.3787652,radish,S,5,5,18
ID30,2.46,3.3787652,radish,C,5,5,6
ID31,4.16,3.3787652,radish,S,5,5,18
ID32,5.86,3.3787652,radish,S,5,5,18
ID33,7.56,3.3787652,radish,S,5,5,12
ID34,9.26,3.3787652,radish,S,5,5,12
ID35,10.96,3.3787652,radish,S,5,5,18
ID36,12.66,3.3787652,radish,C,5,5,6
ID37,14.36,3.3787652,radish,S,5,5,9
ID38,16.06,3.3787652,radish,S,5,5,12
ID39,17.76,3.3787652,radish,S,5,5,12
ID40,19.46,3.3787652,radish,S,5,5,15
ID41,21.16,3.3787652,radish,S,5,5,15
ID42,22.86,3.3787652,radish,S,5,5,15
ID43,1.61,4.85100839,radish,S,5,5,12
ID44,3.31,4.85100839,radish,S,5,5,12
ID45,5.01,4.85100839,radish,S,5,5,15
ID46,6.71,4.85100839,radish,S,5,5,18
ID47,8.41,4.85100839,radish,S,5,5,15
ID48,10.11,4.85100839,radish,S,5,5,12
ID49,11.81,4.85100839,radish,S,5,5,9
ID50,13.51,4.85100839,radish,C,5,5,6
ID51,15.21,4.85100839,radish,S,5,5,9
ID52,16.91,4.85100839,radish,S,5,5,12
ID53,18.61,4.85100839,radish,S,5,5,12
ID54,20.31,4.85100839,radish,S,5,5,12
ID55,22.01,4.85100839,radish,S,5,5,12
ID56,23.71,4.85100839,radish,S,5,5,15
ID57,0.76,6.32325157,radish,S,5,5,18
ID58,2.46,6.32325157,radish,S,5,5,18
ID59,4.16,6.32325157,radish,S,5,5,15
ID60,5.86,6.32325157,radish,S,5,5,12
ID61,7.56,6.32325157,radish,S,5,5,9
ID62,9.26,6.32325157,radish,S,5,5,12
ID63,10.96,6.32325157,radish,S,5,5,12
ID64,12.66,6.32325157,radish,S,5,5,12
ID65,14.36,6.32325157,radish,S,5,5,12
ID66,16.06,6.32325157,radish,S,5,5,12
ID67,17.76,6.32325157,radish,S,5,5,12
ID68,19.46,6.32325157,radish,S,5,5,9
ID69,21.16,6.32325157,radish,S,5,5,9
ID70,22.86,6.32325157,radish,S,5,5,x
ID71,1.61,7.79549476,radish,S,5,5,18
ID72,3.31,7.79549476,radish,S,5,5,18
ID73,5.01,7.79549476,radish,S,5,5,x
ID74,6.71,7.79549476,radish,S,5,5,9
ID75,8.41,7.79549476,radish,C,5,5,6
ID76,10.11,7.79549476,radish,S,5,5,12
ID77,11.81,7.79549476,radish,S,5,5,12
ID78,13.51,7.79549476,radish,S,5,5,12
ID79,15.21,7.79549476,radish,C,5,5,9
ID80,16.91,7.79549476,radish,S,5,5,12
ID81,18.61,7.79549476,radish,S,5,5,12
ID82,20.31,7.79549476,radish,C,5,5,6
ID83,22.01,7.79549476,radish,S,5,5,9
ID84,23.71,7.79549476,radish,S,5,5,12
ID85,0.76,9.26773795,radish,S,5,5,18
ID86,2.46,9.26773795,radish,S,5,5,12
ID87,4.16,9.26773795,radish,S,5,5,15
ID88,5.86,9.26773795,radish,S,5,5,9
ID89,7.56,9.26773795,radish,C,5,5,6
ID90,9.26,9.26773795,radish,S,5,5,12
ID91,10.96,9.26773795,radish,S,5,5,15
ID92,12.66,9.26773795,radish,S,5,5,18
ID93,14.36,9.26773795,radish,S,5,5,18
ID94,16.06,9.26773795,radish,S,5,5,15
ID95,17.76,9.26773795,radish,S,5,5,12
ID96,19.46,9.26773795,radish,S,5,5,12
ID97,21.16,9.26773795,radish,C,5,5,6
ID98,22.86,9.26773795,radish,S,5,5,9
ID99,1.61,10.7399811,radish,C,5,5,6
ID100,3.31,10.7399811,radish,S,5,5,9
ID101,5.01,10.7399811,radish,S,5,5,15
ID102,6.71,10.7399811,radish,S,5,5,9
ID103,8.41,10.7399811,radish,C,5,5,9
ID104,10.11,10.7399811,radish,S,5,5,12
ID105,11.81,10.7399811,radish,C,5,5,12
ID106,13.51,10.7399811,radish,S,5,5,18
ID107,15.21,10.7399811,radish,S,5,5,15
ID108,16.91,10.7399811,radish,S,5,5,12
ID109,18.61,10.7399811,radish,S,5,5,12
ID110,20.31,10.7399811,radish,S,5,5,9
ID111,22.01,10.7399811,radish,S,5,5,9
ID112,23.71,10.7399811,radish,S,5,5,12
ID113,0.76,12.2122243,radish,S,5,5,15
ID114,2.46,12.2122243,radish,C,5,5,6
ID115,4.16,12.2122243,radish,S,5,5,15
ID116,5.86,12.2122243,radish,S,5,5,12
ID117,7.56,12.2122243,radish,C,5,5,9
ID118,9.26,12.2122243,radish,S,5,5,12
ID119,10.96,12.2122243,radish,S,5,5,18
ID120,12.66,12.2122243,radish,S,5,5,18
ID121,14.36,12.2122243,radish,S,5,5,18
ID122,16.06,12.2122243,radish,S,5,5,18
ID123,17.76,12.2122243,radish,S,5,5,15
ID124,19.46,12.2122243,radish,S,5,5,12
ID125,21.16,12.2122243,radish,S,5,5,9
ID126,22.86,12.2122243,radish,S,5,5,12
ID127,1.61,13.6844675,radish,S,5,5,
ID128,3.31,13.6844675,radish,S,5,5,18
ID129,5.01,13.6844675,radish,S,5,5,15
ID130,6.71,13.6844675,radish,S,5,5,12
ID131,8.41,13.6844675,radish,S,5,5,15
ID132,10.11,13.6844675,radish,C,5,5,9
ID133,11.81,13.6844675,radish,S,5,5,18
ID134,13.51,13.6844675,radish,S,5,5,18
ID135,15.21,13.6844675,radish,S,5,5,18
ID136,16.91,13.6844675,radish,S,5,5,15
ID137,18.61,13.6844675,radish,S,5,5,15
ID138,20.31,13.6844675,radish,S,5,5,12
ID139,22.01,13.6844675,radish,S,5,5,12
ID140,23.71,13.6844675,radish,S,5,5,15
ID141,0.76,15.1567107,radish,S,5,5,
ID142,2.46,15.1567107,radish,S,5,5,18
ID143,4.16,15.1567107,radish,S,5,5,18
ID144,5.86,15.1567107,radish,S,5,5,15
ID145,7.56,15.1567107,radish,S,5,5,12
ID146,9.26,15.1567107,radish,S,5,5,9
ID147,10.96,15.1567107,radish,S,5,5,15
ID148,12.66,15.1567107,radish,S,5,5,18
ID149,14.36,15.1567107,radish,S,5,5,18
ID150,16.06,15.1567107,radish,S,5,5,18
ID151,17.76,15.1567107,radish,S,5,5,12
ID152,19.46,15.1567107,radish,S,5,5,12
ID153,21.16,15.1567107,radish,S,5,5,12
ID154,22.86,15.1567107,radish,S,5,5,12
ID155,1.61,16.6289539,radish,S,5,5,
ID156,3.31,16.6289539,radish,S,5,5,18
ID157,5.01,16.6289539,radish,S,5,5,18
ID158,6.71,16.6289539,radish,S,5,5,12
ID159,8.41,16.6289539,radish,S,5,5,9
ID160,10.11,16.6289539,radish,C,5,5,6
ID161,11.81,16.6289539,radish,S,5,5,18
ID162,13.51,16.6289539,radish,S,5,5,18
ID163,15.21,16.6289539,radish,S,5,5,18
ID164,16.91,16.6289539,radish,S,5,5,12
ID165,18.61,16.6289539,radish,S,5,5,9
ID166,20.31,16.6289539,radish,C,5,5,6
ID167,22.01,16.6289539,radish,S,5,5,9
